,Variable Name,,Variable Description,,,
"""",SEQN,""":'",Respondent sequence number.,,"',","""SEQN"":'Respondent sequence number.',"
"""",PEASCST1,""":'",Blood Pressure Status,,"',","""PEASCST1"":'Blood Pressure Status',"
"""",PEASCTM1,""":'",Blood Pressure Time in Seconds,,"',","""PEASCTM1"":'Blood Pressure Time in Seconds',"
"""",PEASCCT1,""":'",Blood Pressure Comment,,"',","""PEASCCT1"":'Blood Pressure Comment',"
"""",BPXCHR,""":'",60 sec HR (30 sec HR * 2),,"',","""BPXCHR"":'60 sec HR (30 sec HR * 2)',"
"""",BPAARM,""":'",Arm selected:,,"',","""BPAARM"":'Arm selected:',"
"""",BPACSZ,""":'",Cuff size (cm) (width X length),,"',","""BPACSZ"":'Cuff size (cm) (width X length)',"
"""",BPXPLS,""":'",60 sec. pulse (30 sec. pulse * 2),,"',","""BPXPLS"":'60 sec. pulse (30 sec. pulse * 2)',"
"""",BPXPULS,""":'",Pulse regular or irregular?,,"',","""BPXPULS"":'Pulse regular or irregular?',"
"""",BPXPTY,""":'",Pulse type,,"',","""BPXPTY"":'Pulse type',"
"""",BPXML1,""":'",MIL: maximum inflation levels (mm Hg),,"',","""BPXML1"":'MIL: maximum inflation levels (mm Hg)',"
"""",BPXSY1,""":'",Systolic: Blood pressure (first reading) mm Hg,,"',","""BPXSY1"":'Systolic: Blood pressure (first reading) mm Hg',"
"""",BPXDI1,""":'",Diastolic: Blood pressure (first reading) mm Hg,,"',","""BPXDI1"":'Diastolic: Blood pressure (first reading) mm Hg',"
"""",BPAEN1,""":'",Enhancement used first reading,,"',","""BPAEN1"":'Enhancement used first reading',"
"""",BPXSY2,""":'",Systolic: Blood pressure (second reading) mm Hg,,"',","""BPXSY2"":'Systolic: Blood pressure (second reading) mm Hg',"
"""",BPXDI2,""":'",Diastolic: Blood pressure (second reading) mm Hg,,"',","""BPXDI2"":'Diastolic: Blood pressure (second reading) mm Hg',"
"""",BPAEN2,""":'",Enhancement used second reading,,"',","""BPAEN2"":'Enhancement used second reading',"
"""",BPXSY3,""":'",Systolic: Blood pressure (third reading) mm Hg,,"',","""BPXSY3"":'Systolic: Blood pressure (third reading) mm Hg',"
"""",BPXDI3,""":'",Diastolic: Blood pressure (third reading) mm Hg,,"',","""BPXDI3"":'Diastolic: Blood pressure (third reading) mm Hg',"
"""",BPAEN3,""":'",Enhancement used third reading,,"',","""BPAEN3"":'Enhancement used third reading',"
"""",BPXSY4,""":'",Systolic: Blood pressure (fourth reading if necessary) mm Hg,,"',","""BPXSY4"":'Systolic: Blood pressure (fourth reading if necessary) mm Hg',"
"""",BPXDI4,""":'",Diastolic: Blood pressure (fourth reading if necessary) mm Hg,,"',","""BPXDI4"":'Diastolic: Blood pressure (fourth reading if necessary) mm Hg',"
"""",BPAEN4,""":'",Enhancement used fourth reading,,"',","""BPAEN4"":'Enhancement used fourth reading',"
"""",BMDSTATS,""":'",Body Measures Component status Code,,"',","""BMDSTATS"":'Body Measures Component status Code',"
"""",BMXWT,""":'",Weight (kg),,"',","""BMXWT"":'Weight (kg)',"
"""",BMIWT,""":'",Weight Comment,,"',","""BMIWT"":'Weight Comment',"
"""",BMXRECUM,""":'",Recumbent Length (cm),,"',","""BMXRECUM"":'Recumbent Length (cm)',"
"""",BMIRECUM,""":'",Recumbent Length Comment,,"',","""BMIRECUM"":'Recumbent Length Comment',"
"""",BMXHEAD,""":'",Head Circumference (cm),,"',","""BMXHEAD"":'Head Circumference (cm)',"
"""",BMIHEAD,""":'",Head Circumference Comment,,"',","""BMIHEAD"":'Head Circumference Comment',"
"""",BMXHT,""":'",Standing Height (cm),,"',","""BMXHT"":'Standing Height (cm)',"
"""",BMIHT,""":'",Standing Height Comment,,"',","""BMIHT"":'Standing Height Comment',"
"""",BMXBMI,""":'",Body Mass Index (kg/m**2),,"',","""BMXBMI"":'Body Mass Index (kg/m**2)',"
"""",BMDBMIC,""":'",BMI Category - Children/Youth,,"',","""BMDBMIC"":'BMI Category - Children/Youth',"
"""",BMXLEG,""":'",Upper Leg Length (cm),,"',","""BMXLEG"":'Upper Leg Length (cm)',"
"""",BMILEG,""":'",Upper Leg Length Comment,,"',","""BMILEG"":'Upper Leg Length Comment',"
"""",BMXARML,""":'",Upper Arm Length (cm),,"',","""BMXARML"":'Upper Arm Length (cm)',"
"""",BMIARML,""":'",Upper Arm Length Comment,,"',","""BMIARML"":'Upper Arm Length Comment',"
"""",BMXARMC,""":'",Arm Circumference (cm),,"',","""BMXARMC"":'Arm Circumference (cm)',"
"""",BMIARMC,""":'",Arm Circumference Comment,,"',","""BMIARMC"":'Arm Circumference Comment',"
"""",BMXWAIST,""":'",Waist Circumference (cm),,"',","""BMXWAIST"":'Waist Circumference (cm)',"
"""",BMIWAIST,""":'",Waist Circumference Comment,,"',","""BMIWAIST"":'Waist Circumference Comment',"
"""",BMXSAD1,""":'",Sagittal Abdominal Diameter 1st (cm),,"',","""BMXSAD1"":'Sagittal Abdominal Diameter 1st (cm)',"
"""",BMXSAD2,""":'",Sagittal Abdominal Diameter 2nd (cm),,"',","""BMXSAD2"":'Sagittal Abdominal Diameter 2nd (cm)',"
"""",BMXSAD3,""":'",Sagittal Abdominal Diameter 3rd (cm),,"',","""BMXSAD3"":'Sagittal Abdominal Diameter 3rd (cm)',"
"""",BMXSAD4,""":'",Sagittal Abdominal Diameter 4th (cm),,"',","""BMXSAD4"":'Sagittal Abdominal Diameter 4th (cm)',"
"""",BMDAVSAD,""":'",Average Sagittal Abdominal Diameter (cm),,"',","""BMDAVSAD"":'Average Sagittal Abdominal Diameter (cm)',"
"""",BMDSADCM,""":'",Sagittal Abdominal Diameter Comment,,"',","""BMDSADCM"":'Sagittal Abdominal Diameter Comment',"
"""",DXAFMRST,""":'",Femur scan status,,"',","""DXAFMRST"":'Femur scan status',"
